Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Engagement_Score,Cashback_Per_Order,Address_Stability,Device_Per_Tenure,PreferedOrderCat_fashion,PreferedOrderCat_grocery,PreferedOrderCat_laptop & accessory,PreferedOrderCat_mobile phone,PreferedOrderCat_others,PreferedOrderCat_watch,MaritalStatus_divorced,MaritalStatus_married,MaritalStatus_single
2.772588722239781,3.4011973816621555,4,3,2,0,2.0794415416798357,4.972033056314314,0,0.9003543937149505,1.3179366801908967,0.5301399509068676,1.0602799018137352,0,0,1,0,0,0,0,0,1
2.0794415416798357,3.258096538021482,4,1,2,0,2.0794415416798357,4.86976273521484,0,0.6752657952862129,1.5813785289648277,0.6494684094275742,1.2989368188551484,0,0,0,0,0,1,0,1,0
3.332204510175204,2.6390573296152584,3,1,5,0,2.0794415416798357,5.13308888718026,0,1.0820807815554394,1.1848676291998657,1.1541468063791358,0.6924880838274814,0,0,1,0,0,0,0,1,0
3.044522437723423,3.258096538021482,4,3,7,0,1.3862943611198906,5.44358585913928,0,1.275836915733491,1.3459156038712352,1.7307358551681455,0.9889919172389402,1,0,0,0,0,0,1,0,0
3.4339872044851463,2.772588722239781,4,4,8,0,2.1972245773362196,5.778178500556554,0,1.0740525482092305,1.3031563317800527,1.8042451705561298,0.9021225852780649,0,0,0,0,1,0,0,0,1
2.0794415416798357,2.833213344056216,4,2,2,0,2.4849066497880004,5.035718074463719,0,0.5966993525655374,1.6352699040738192,0.6494684094275742,1.2989368188551484,0,0,0,1,0,0,1,0,0
0.6931471805599453,2.772588722239781,6,5,3,0,1.0986122886681098,5.014029527164271,0,0.3302883454474828,2.961366610495177,1.7718483274489236,3.5436966548978472,0,0,0,1,0,0,1,0,0
0.6931471805599453,2.4849066497880004,4,5,3,0,0.6931471805599453,5.048123738507248,1,0.4093838908503587,2.9815032009430915,1.7718483274489236,2.362464436598565,0,0,0,1,0,0,0,0,1
2.4849066497880004,2.5649493574615367,4,3,2,0,1.6094379124341003,4.927398602192456,0,0.9522765948740521,1.4139255645462434,0.5739034645653041,1.1478069291306081,0,0,0,1,0,0,0,1,0
2.8903717578961645,2.0794415416798357,3,1,5,1,1.0986122886681098,5.065312855386951,0,1.3772776293664737,1.3020125506273394,1.2852242179302422,0.7711345307581454,0,0,1,0,0,0,0,1,0
1.9459101490553132,3.295836866004329,6,3,5,0,1.3862943611198906,5.403127730900382,0,0.8154526871287142,1.8341115164809225,1.6972683303336276,2.0367219964003533,1,0,0,0,0,0,0,1,0
2.833213344056216,3.044522437723423,2,5,7,0,0.6931471805599453,5.200594278019421,0,1.6733414416573262,1.3567192355947177,1.826144117664154,0.5217554621897583,0,0,1,0,0,0,0,1,0
0.6931471805599453,2.0794415416798357,4,3,5,0,1.3862943611198906,5.044005593571361,1,0.2904701079017974,2.979070958204144,2.953080545748206,2.362464436598565,0,0,0,1,0,0,1,0,0
0.6931471805599453,2.0794415416798357,5,3,7,0,1.3862943611198906,5.447125227475003,1,0.2904701079017974,3.2171599079021407,4.134312764047489,2.953080545748206,1,0,0,0,0,0,1,0,0
1.9459101490553132,2.70805020110221,3,5,3,0,1.0986122886681098,5.105460507838699,0,0.9272366122902532,1.7330672863447327,1.0183609982001767,1.0183609982001767,0,0,1,0,0,0,0,1,0
2.3978952727983707,2.1972245773362196,4,3,8,0,0.6931471805599453,5.268631056177676,0,1.4162355761684913,1.5505572223945094,2.3543986373104193,1.1771993186552097,0,0,1,0,0,0,0,0,1
2.302585092994046,3.091042453358316,5,1,1,1,1.3862943611198906,4.809579339246051,0,0.9649208121639444,1.4563074693968898,0.30279310656411385,1.5139655328205692,0,0,0,0,0,1,0,1,0
2.1972245773362196,3.1354942159291497,4,2,3,0,1.9459101490553132,5.326807636947664,1,0.7458559379486912,1.6660724037676813,0.9383138179487729,1.251085090598364,1,0,0,0,0,0,1,0,0
